"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","129.905 
2.802 
1.170","14.914 
134,4","2.436 
21,9"
"Bayern","177.522 
4.283 
1.353","22.284 
169,8","3.387 
25,8"
"Berlin","55.018 
1.703 
1.499","7.631 
208,0","441 
12,0"
"Brandenburg","15.032 
685 
596","2.176 
86,3","276 
10,9"
"Bremen","9.052 
185 
1.329","1.043 
153,1","105 
15,4"
"Hamburg","22.098 
363 
1.196","1.787 
96,7","334 
18,1"
"Hessen","74.368 
1.843 
1.183","10.683 
169,9","1.010 
16,1"
"Mecklenburg-
Vorpommern","5.064 
132 
315","742 
46,1","53 
3,3"
"Niedersachsen","61.621 
1.653 
771","6.986 
87,4","985 
12,3"
"Nordrhein-
Westfalen","227.783 
5.248 
1.269","29.975 
167,0","2.943 
16,4"
"Rheinland-Pfalz","37.132 
1.041 
907","5.277 
128,9","411 
10,0"
"Saarland","11.247 
241 
1.140","1.234 
125,0","234 
23,7"
"Sachsen","41.336 
1.535 
1.015","7.057 
173,3","626 
15,4"
"Sachsen-Anhalt","9.580 
314 
436","1.549 
70,6","121 
5,5"
"Schleswig-Holstein","12.638 
250 
435","1.365 
47,0","233 
8,0"
"Thüringen","13.132 
686 
616","2.425 
113,7","289 
13,5"
"Gesamt","902.528 
22.964 
1.085","117.128 
140,8","13.884 
16,7"
