"0"
"Geschlecht 
Altersgruppe in Jahren 
 
<60 
60 - 69 
70 - 79 
80 - 89 
≥90"
"männlich 
136 
279 
661 
1.018 
287"
"weiblich 
44 
95 
294 
852 
440"
"Summe 
180 
374 
955 
1.870 
727"
