"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","352.390 
2.719 
3.175","12.793 
115","8.606 
77,5"
"Bayern","484.499 
3.590 
3.691","16.021 
122","13.121 
100,0"
"Berlin","142.003 
1.007 
3.870","4.323 
118","3.025 
82,4"
"Brandenburg","85.348 
651 
3.384","3.273 
130","3.269 
129,6"
"Bremen","20.227 
166 
2.969","794 
117","400 
58,7"
"Hamburg","58.697 
549 
3.178","2.002 
108","1.369 
74,1"
"Hessen","211.722 
1.685 
3.367","8.155 
130","6.248 
99,4"
"Mecklenburg-
Vorpommern","29.165 
381 
1.814","1.533 
95","842 
52,4"
"Niedersachsen","189.792 
1.821 
2.374","7.840 
98","4.793 
60,0"
"Nordrhein-
Westfalen","593.519 
4.618 
3.307","21.515 
120","14.064 
78,4"
"Rheinland-Pfalz","112.717 
936 
2.753","3.836 
94","3.290 
80,4"
"Saarland","31.110 
84 
3.152","603 
61","922 
93,4"
"Sachsen","214.824 
1.477 
5.276","6.887 
169","8.303 
203,9"
"Sachsen-Anhalt","69.928 
646 
3.186","2.959 
135","2.678 
122,0"
"Schleswig-Holstein","48.180 
365 
1.659","1.813 
62","1.422 
49,0"
"Thüringen","90.632 
878 
4.248","4.725 
221","3.271 
153,3"
"Gesamt","2.734.753 
21.573 
3.288","99.072 
119","75.623 
90,9"
