0,1,2,3,4,5,6
KW 2021 /,Alpha,Beta,Gamma,Delta,Omikron,
2022,BA.1,BA.2,,,,
50,0%,0%,0%,"90,0%","9,6%","0,0%"
51,0%,0%,0%,"77,2%","21,6%","0,1%"
52,0%,0%,0%,"46,0%","53,5%","0,2%"
01,0%,0%,0%,"29,9%","68,5%","1,5%"
02,0%,0%,0%,"12,2%","84,4%","2,8%"
03,0%,0%,0%,"4,2%","90,8%","5,1%"
04,0%,0%,0%,"1,7%","87,8%","10,6%"
05,0%,0%,0%,"0,7%","82,9%","16,0%"
06,0%,0%,0%,"0,3%","73,6%","25,2%"
07,0%,0%,0%,"0,1%","61,9%","37,5%"
