0,1,2,3,4,5,6
KW 2021,,,,,,
Alpha,Beta,Gamma,Delta,Omikron,,
/2022,,,,,,
BA.1,BA.2,,,,,
45,"<0,1%","<0,1%",0%,"99,9%",0%,0%
46,0%,0%,0%,100%,0%,0%
47,"<0,1%","<0,1%",0%,"99,7%","0,2%",0%
48,0%,0%,0%,"99,1%","0,7%",0%
49,0%,0%,0%,"97,5%","2,3%",0%
50,0%,0%,0%,"89,8%","9,7%",0%
51,0%,0%,0%,"76,7%","21,9%","0,2%"
52,0%,0%,0%,"45,9%","52,6%","0,2%"
01,0%,"<0,1%",0%,"32,6%","64,5%","1,4%"
02,0%,0%,0%,"14,7%","82,3%","2,3%"
