0,1,2,3,4,5,6
KW,Alpha,Beta,Gamma,Delta,Omikron,
2021 /,,,,,,
2022,BA.1,BA.2,,,,
47,"<0,1%","<0,1%",0%,"99,7%","0,2%",0%
48,0%,0%,0%,"99,1%","0,7%",0%
49,0%,0%,0%,"97,5%","2,3%",0%
50,0%,0%,0%,"90,0%","9,5%",0%
51,0%,0%,0%,"77,3%","21,3%","0,1%"
52,0%,0%,0%,"45,2%","53,3%","0,2%"
01,0%,0%,0%,"29,1%","67,9%","1,6%"
02,0%,0%,0%,"12,4%","83,6%","2,9%"
03,0%,0%,0%,"4,3%","90,1%","5,3%"
04,0%,0%,0%,"2,0%","89,6%","8,1%"
