0,1,2,3,4,5,6
KW,Alpha,Beta,Gamma,Delta,Omikron,
2021 /,,,,,,
2022,BA.1,BA.2,,,,
46,0%,0%,0%,100%,0%,0%
47,"<0,1%","<0,1%",0%,"99,7%","0,2%",0%
48,0%,0%,0%,"99,1%","0,7%",0%
49,0%,0%,0%,"97,5%","2,3%",0%
50,0%,0%,0%,"89,8%","9,7%",0%
51,0%,0%,0%,"76,6%","21,9%","0,2%"
52,0%,0%,0%,"45,8%","52,7%","0,2%"
01,0%,0%,0%,"29,9%","67,1%","1,5%"
02,0%,0%,0%,"13,4%","82,8%","2,6%"
03,0%,0%,0%,"5,4%","89,2%","5,1%"
