0,1,2,3,4,5,6
Alpha,Beta,Gamma,Delta,Omikron,,
KW 2022,,,,,,
BA.1,BA.2,,,,,
03,0%,0%,0%,"4,0%","90,2%","5,3%"
04,0%,0%,0%,"1,7%","87,2%","10,8%"
05,0%,0%,0%,"0,7%","82,3%","16,6%"
06,0%,0%,0%,"0,3%","72,9%","25,8%"
07,"< 0,1%",0%,0%,"0,1%","61,2%","37,3%"
08,0%,0%,0%,"0,1%","49,1%","50,3%"
09,0%,0%,0%,"< 0,1%","34,8%","63,2%"
10,0%,0%,0%,"< 0,1%","25,2%","73,8%"
11,"< 0,1%","< 0,1%",0%,"< 0,1%","16,5%","82,9%"
12,0%,0%,0%,"< 0,1%","11,4%","88,3%"
