"0","1","2","3"
"Saarland","2.830 
2 
286","11 
1,1","174 
17,6"
"Sachsen*","5.488 
0 
135","12 
0,3","225 
5,5"
"Sachsen-
Anhalt","1.950 
4 
88","31 
1,4","62 
2,8"
"Schleswig-
Holstein","3.261 
8 
113","48 
1,7","155 
5,4"
"Thüringen","3.321 
0 
155","27 
1,3","182 
8,5"
"Gesamt","201.823 
249 
243","2.614 
3,1","9.086 
10,9"
