"0"
"Geschlecht 
Altersgruppe in Jahren 
 
<60 
60 - 69 
70 - 79 
80 - 89 
≥90"
"170 
343 
827 
1.260 
334 
männlich"
"56 
114 
370 
1.048 
568 
weiblich"
"Summe 
226 
457 
1.197 
2.308 
902"
