"0","1","2","3","4","5","6","7","8","9","10","11","12"
"Bundesland","Impfzentren, Mobile Teams, Krankenhäuser","","","","Arztpraxen (Vertragsärzte und Privatärzte)","","","","Betriebsärzte","","",""
"","Erstimpfungen","","Zweitimpfungen","","Erstimpfungen","","Zweitimpfungen","","Erstimpfungen","","Zweitimpfungen",""
"","Gesamt","Differenz 
zum 
Vortag","Gesamt","Differenz 
zum 
Vortag","Gesamt","Differenz 
zum 
Vortag","Gesamt","Differenz 
zum 
Vortag","Gesamt","Differenz 
zum 
Vortag","Gesamt","Differenz 
zum 
Vortag"
"Baden-
Württemberg","3.487.008","15.752","2.122.232","38.889","1.841.367","26.699","715.901","33.434","25.356","3.969","294","53"
"Bayern","3.619.533","7.272","2.536.934","43.202","2.384.265","38.157","888.081","58.392","30.365","4.531","225","31"
"Berlin","1.118.986","7.781","644.145","9.381","693.683","10.517","263.920","15.849","4.231","469","21","7"
"Brandenburg","686.029","4.019","412.058","6.117","514.948","7.716","194.603","10.367","1.749","222","5","0"
"Bremen","260.016","2.757","144.134","1.549","110.983","1.718","40.056","2.402","1.888","350","12","0"
"Hamburg","542.452","1.233","353.393","6.825","303.027","5.693","106.454","6.474","5.169","678","39","9"
"Hessen","1.982.228","4.083","1.107.088","24.544","1.069.390","19.133","400.770","25.156","8.410","1.243","104","11"
"Mecklenburg-
Vorpommern","458.678","2.826","295.144","6.570","350.252","4.248","156.813","9.030","738","30","3","0"
"Niedersachsen","2.388.840","10.190","1.396.905","30.710","1.590.895","28.123","549.470","34.257","12.903","935","59","7"
"Nordrhein-
Westfalen","5.411.398","368","3.526.212","33.966","3.786.407","60.991","1.313.752","83.004","40.096","6.339","319","52"
"Rheinland-
Pfalz","1.249.841","8.117","765.778","10.216","735.293","8.419","269.961","10.586","5.623","527","9","2"
"Saarland","327.423","257","237.577","5.511","188.967","3.348","72.637","4.912","1.958","338","12","10"
"Sachsen","1.166.369","2.491","813.558","15.040","620.043","11.810","284.712","10.014","3.104","229","14","5"
"Sachsen-
Anhalt","639.766","2.771","399.586","7.849","383.024","6.361","151.695","9.867","1.422","531","37","17"
"Schleswig-
Holstein","883.881","4.253","555.669","8.166","627.036","14.823","220.042","15.555","1.447","427","4","0"
"Thüringen","677.652","2.259","405.557","5.842","325.392","5.010","147.626","8.114","1.025","30","6","0"
"Gesamt","24.900.100","76.429","15.715.970","254.377","15.524.972","252.766","5.776.493","337.413","145.484","20.848","1.163","204"
